rep_var,replicate,mean_interaction,mean_int_strength,interaction_number,sum_int_strength,sample_ID
CDPS_Tmp_25_28_Nut0.75,2,0.26597614056470015,0.6653362116597411,6,103.7924490189196,CDPS_Tmp_25_28_Nut0.75_2
CDPS_Tmp_25_28_Nut0.75,3,0.3575160073759645,0.5889846324184147,6,91.8816026572727,CDPS_Tmp_25_28_Nut0.75_3
CDS_Tmp_18_21_Nut0.35,1,0.10473508389096799,1.20059447066721,1,31.215456237347464,CDS_Tmp_18_21_Nut0.35_1
CDS_Tmp_18_21_Nut0.35,2,-0.13619736384672992,1.118640218639283,1,29.08464568462136,CDS_Tmp_18_21_Nut0.35_2
CDS_Tmp_18_21_Nut0.35,3,0.20615365959565804,0.9924768163257931,1,25.804397224470627,CDS_Tmp_18_21_Nut0.35_3
CDS_Tmp_22_25_Nut0.35,1,0.6568437492705087,0.7831116066192801,1,20.36090177210128,CDS_Tmp_22_25_Nut0.35_1
CDS_Tmp_22_25_Nut0.35,2,0.17590901026386216,0.7288602527773709,1,18.950366572211646,CDS_Tmp_22_25_Nut0.35_2
CDS_Tmp_22_25_Nut0.35,3,0.668302285302588,0.7983382071758024,1,20.756793386570862,CDS_Tmp_22_25_Nut0.35_3
CDS_Tmp_22_25_Nut0.75,1,0.6507913318049096,1.1477703390823992,3,89.52608644842714,CDS_Tmp_22_25_Nut0.75_1
CDS_Tmp_22_25_Nut0.75,2,0.5681794867056257,1.0398280299195335,3,81.10658633372361,CDS_Tmp_22_25_Nut0.75_2
CDS_Tmp_22_25_Nut0.75,3,0.6037130264149239,1.1190814834302851,3,87.28835570756225,CDS_Tmp_22_25_Nut0.75_3
CDS_Tmp_25_28_Nut0.35,1,-0.6483042824030533,0.8065066046924109,1,20.969171722002685,CDS_Tmp_25_28_Nut0.35_1
CDS_Tmp_25_28_Nut0.35,2,-0.7815476501528543,0.9260953337303783,1,24.07847867698984,CDS_Tmp_25_28_Nut0.35_2
CDS_Tmp_25_28_Nut0.35,3,-0.6786497614930838,0.8790750268495254,1,22.855950698087664,CDS_Tmp_25_28_Nut0.35_3
CDS_Tmp_25_28_Nut0.75,1,-0.045901434142849896,0.5067305657313232,2,26.349989418028798,CDS_Tmp_25_28_Nut0.75_1
CDS_Tmp_25_28_Nut0.75,2,-0.04432517080525423,0.5085310506756417,2,26.44361463513336,CDS_Tmp_25_28_Nut0.75_2
CDS_Tmp_25_28_Nut0.75,3,-0.04840321162090913,0.5245421258567847,2,27.2761905445528,CDS_Tmp_25_28_Nut0.75_3
CD_Tmp_18_21_Nut0.35,1,-0.07602117213922105,0.9786783720253799,1,25.44563767265987,CD_Tmp_18_21_Nut0.35_1
CD_Tmp_18_21_Nut0.35,2,0.6751434310853982,1.3416563741401037,1,34.8830657276427,CD_Tmp_18_21_Nut0.35_2
CD_Tmp_18_21_Nut0.35,3,0.4759111732245151,0.9409671120993419,1,24.465144914582886,CD_Tmp_18_21_Nut0.35_3
CD_Tmp_25_28_Nut0.35,1,0.34405047082314216,0.45295514585915686,2,23.55366758467615,CD_Tmp_25_28_Nut0.35_1
CD_Tmp_25_28_Nut0.35,2,0.3858639985976519,0.45792926915546117,2,23.81232199608398,CD_Tmp_25_28_Nut0.35_2
CD_Tmp_25_28_Nut0.35,3,0.3459254630324251,0.4764087351882295,2,24.77325422978793,CD_Tmp_25_28_Nut0.35_3
CLPS_Tmp_18_21_Nut0.75,1,0.10918911877525998,0.5728009591038808,2,29.78564987340179,CLPS_Tmp_18_21_Nut0.75_1
CLPS_Tmp_18_21_Nut0.75,2,0.2565431330266347,0.6200661780026405,2,32.2434412561373,CLPS_Tmp_18_21_Nut0.75_2
CLPS_Tmp_18_21_Nut0.75,3,0.11947200151619972,0.5624059015963596,2,29.2451068830107,CLPS_Tmp_18_21_Nut0.75_3
CLPS_Tmp_22_25_Nut0.01,1,0.11663524236744452,0.19548467017126964,1,5.082601424453012,CLPS_Tmp_22_25_Nut0.01_1
CLPS_Tmp_22_25_Nut0.01,2,0.30324033490159213,0.35985341155687756,1,9.356188700478818,CLPS_Tmp_22_25_Nut0.01_2
CLPS_Tmp_22_25_Nut0.01,3,0.17623263347884152,0.1949092880248376,1,5.067641488645776,CLPS_Tmp_22_25_Nut0.01_3
CLPS_Tmp_22_25_Nut0.35,1,1.0217656653675575,1.3071285925708995,1,33.985343406843384,CLPS_Tmp_22_25_Nut0.35_1
CLPS_Tmp_22_25_Nut0.35,2,1.3599467944178354,1.4203614090784091,1,36.92939663603864,CLPS_Tmp_22_25_Nut0.35_2
CLPS_Tmp_22_25_Nut0.35,3,0.7939641305370302,1.1213154243347074,1,29.1542010327024,CLPS_Tmp_22_25_Nut0.35_3
CLPS_Tmp_22_25_Nut0.75,1,0.09576127761083532,1.6339220782777988,2,84.96394807044557,CLPS_Tmp_22_25_Nut0.75_1
CLPS_Tmp_22_25_Nut0.75,2,0.15858800660256056,1.3913103645967855,2,72.34813895903284,CLPS_Tmp_22_25_Nut0.75_2
CLPS_Tmp_22_25_Nut0.75,3,0.22281875605693183,1.5496432827915279,2,80.58145070515944,CLPS_Tmp_22_25_Nut0.75_3
CLP_Tmp_18_21_Nut0.75,1,0.6216998784757084,1.0779469139235527,1,28.02661976201237,CLP_Tmp_18_21_Nut0.75_1
CLP_Tmp_18_21_Nut0.75,2,0.5492284553274376,1.1998165578186994,1,31.195230503286176,CLP_Tmp_18_21_Nut0.75_2
CLP_Tmp_18_21_Nut0.75,3,0.35615643536208824,1.1922915805653798,1,30.999581094699877,CLP_Tmp_18_21_Nut0.75_3
CLP_Tmp_22_25_Nut0.75,1,0.5239913025957904,1.3255017993181601,2,68.92609356454435,CLP_Tmp_22_25_Nut0.75_1
CLP_Tmp_22_25_Nut0.75,2,0.4374616443852289,1.3441608000517573,2,69.89636160269139,CLP_Tmp_22_25_Nut0.75_2
CLP_Tmp_22_25_Nut0.75,3,0.47523919611699195,1.279208728756732,2,66.51885389535003,CLP_Tmp_22_25_Nut0.75_3
CLP_Tmp_25_28_Nut0.35,1,0.44226256156117716,0.5769745706497809,4,60.00535534757722,CLP_Tmp_25_28_Nut0.35_1
CLP_Tmp_25_28_Nut0.35,2,0.3200057351827672,0.5061144317933622,4,52.635900906509676,CLP_Tmp_25_28_Nut0.35_2
CLP_Tmp_25_28_Nut0.35,3,0.4777369287222915,0.6924948910194476,4,72.01946866602253,CLP_Tmp_25_28_Nut0.35_3
CLS_Tmp_25_28_Nut0.75,1,0.36381678807719253,1.369854948602678,2,71.23245732733926,CLS_Tmp_25_28_Nut0.75_1
CLS_Tmp_25_28_Nut0.75,2,0.3592521163654841,1.2849476461927811,2,66.81727760202462,CLS_Tmp_25_28_Nut0.75_2
CLS_Tmp_25_28_Nut0.75,3,0.3518977830920167,1.196839438097108,2,62.235650781049614,CLS_Tmp_25_28_Nut0.75_3
CP_Tmp_22_25_Nut0.75,1,0.9269671593366063,1.0087394206299096,1,26.227224936377652,CP_Tmp_22_25_Nut0.75_1
CP_Tmp_22_25_Nut0.75,2,0.8221042105749108,0.8416443606340496,1,21.882753376485287,CP_Tmp_22_25_Nut0.75_2
CP_Tmp_22_25_Nut0.75,3,0.8970759308279019,0.9420657508144696,1,24.49370952117621,CP_Tmp_22_25_Nut0.75_3
CP_Tmp_25_28_Nut0.01,1,0.7997634682299317,1.5763739515100084,1,40.985722739260204,CP_Tmp_25_28_Nut0.01_1
CP_Tmp_25_28_Nut0.01,2,0.2162023191837937,0.9940463269602948,1,25.84520450096767,CP_Tmp_25_28_Nut0.01_2
CP_Tmp_25_28_Nut0.01,3,0.1460390974688836,0.6048115249243122,1,15.725099648032117,CP_Tmp_25_28_Nut0.01_3
CP_Tmp_25_28_Nut0.75,1,1.1397734122693588,1.1397734122693588,1,29.634108719003326,CP_Tmp_25_28_Nut0.75_1
CP_Tmp_25_28_Nut0.75,2,0.8366517272756913,1.005940700240674,1,26.154458206257523,CP_Tmp_25_28_Nut0.75_2
CP_Tmp_25_28_Nut0.75,3,0.7524158878443504,1.0719487277294972,1,27.870666920966926,CP_Tmp_25_28_Nut0.75_3
DLPS_Tmp_22_25_Nut0.35,1,0.37538231149014833,1.1579399686832197,5,150.5321959288186,DLPS_Tmp_22_25_Nut0.35_1
