sample_ID,temperature,nutrients,composition,mean_sum_interactions,mean_interaction_strength
CLPS_Tmp_22_25_Nut0.01_1,22-25,0.01,CLPS,2.3144517258118094,1.1572258629059047
CLPS_Tmp_22_25_Nut0.01_2,22-25,0.01,CLPS,5.709104267296824,2.8545521336484114
CLPS_Tmp_22_25_Nut0.01_3,22-25,0.01,CLPS,2.2303678656546237,2.2303678656546237
CLPS_Tmp_22_25_Nut0.35_1,22-25,0.35,CLPS,1.1665834564802862,1.1665834564802862
CLPS_Tmp_22_25_Nut0.35_2,22-25,0.35,CLPS,1.0258894267265988,1.0258894267265988
CLPS_Tmp_22_25_Nut0.35_3,22-25,0.35,CLPS,1.1486820869724856,0.38289402899082853
CLPS_Tmp_22_25_Nut0.75_1,22-25,0.75,CLPS,1.6634197303119904,0.4158549325779976
CLPS_Tmp_22_25_Nut0.75_2,22-25,0.75,CLPS,3.9568295508641014,0.9892073877160253
CLPS_Tmp_22_25_Nut0.75_3,22-25,0.75,CLPS,4.774979042715979,1.5916596809053265
CLPS_Tmp_25_28_Nut0.01_2,25-28,0.01,CLPS,2.3796847743705865,1.1898423871852932
CLPS_Tmp_25_28_Nut0.01_3,25-28,0.01,CLPS,3.4261690990206954,1.1420563663402319
CLP_Tmp_18_21_Nut0.01_2,18-21,0.01,CLP,2.4406311647418453,2.4406311647418453
CLP_Tmp_18_21_Nut0.35_2,18-21,0.35,CLP,4.029956844801817,1.3433189482672725
CLP_Tmp_18_21_Nut0.75_1,18-21,0.75,CLP,1.9110708393875937,0.9555354196937969
CLP_Tmp_18_21_Nut0.75_3,18-21,0.75,CLP,1.2858577317806572,1.2858577317806572
CLP_Tmp_22_25_Nut0.75_1,22-25,0.75,CLP,5.9239977656953515,1.1847995531390703
CLP_Tmp_22_25_Nut0.75_2,22-25,0.75,CLP,2.7492342949791837,0.6873085737447959
CLP_Tmp_22_25_Nut0.75_3,22-25,0.75,CLP,1.7717568141926059,0.88587840709630294
CLP_Tmp_25_28_Nut0.35_1,25-28,0.35,CLP,1.0647790605661245,1.0647790605661245
CLP_Tmp_25_28_Nut0.35_3,25-28,0.35,CLP,1.1531149513189605,0.5765574756594802
CLS_Tmp_18_21_Nut0.01_1,18-21,0.01,CLS,0.3601197509938006,0.3601197509938006
CLS_Tmp_25_28_Nut0.75_1,25-28,0.75,CLS,1.396370021858647,0.6981850109293235
CLS_Tmp_25_28_Nut0.75_2,25-28,0.75,CLS,0.9889264318845107,0.9889264318845107
CLS_Tmp_25_28_Nut0.75_3,25-28,0.75,CLS,6.249768241205918,1.5624420603014795
CP_Tmp_22_25_Nut0.75_2,22-25,0.75,CP,0.37057599148102405,0.37057599148102405
CP_Tmp_22_25_Nut0.75_3,22-25,0.75,CP,1.4753809714465378,0.7376904857232689
CP_Tmp_25_28_Nut0.01_1,25-28,0.01,CP,1.640821862915985,1.640821862915985
CP_Tmp_25_28_Nut0.01_3,25-28,0.01,CP,10.474059652332848,10.474059652332848
CP_Tmp_25_28_Nut0.75_1,25-28,0.75,CP,0.4644542086936789,0.4644542086936789
CS_Tmp_25_28_Nut0.75_2,25-28,0.75,CS,0.7534685680451667,0.7534685680451667
DLPS_Tmp_22_25_Nut0.35_1,22-25,0.35,DLPS,1.2001594756916778,0.40005315856389256
DLPS_Tmp_22_25_Nut0.35_2,22-25,0.35,DLPS,5.602398846345041,1.4005997115862603
DLPS_Tmp_22_25_Nut0.35_3,22-25,0.35,DLPS,0.10929394927640967,0.10929394927640967
DLPS_Tmp_22_25_Nut0.75_1,22-25,0.75,DLPS,5.443438989969344,1.088687797993869
DLPS_Tmp_22_25_Nut0.75_2,22-25,0.75,DLPS,3.3133482934638487,0.8283370733659622
DLPS_Tmp_22_25_Nut0.75_3,22-25,0.75,DLPS,5.745265333383994,1.1490530666767989
DLPS_Tmp_25_28_Nut0.35_1,25-28,0.35,DLPS,0.663008237369667,0.663008237369667
DLPS_Tmp_25_28_Nut0.35_2,25-28,0.35,DLPS,35.479365459689554,11.82645515322985
DLPS_Tmp_25_28_Nut0.35_3,25-28,0.35,DLPS,0.9446077273741846,0.4723038636870923
DLPS_Tmp_25_28_Nut0.75_1,25-28,0.75,DLPS,1.1030376537860611,0.5515188268930306
DLPS_Tmp_25_28_Nut0.75_2,25-28,0.75,DLPS,10.337767475333877,3.445922491777959
DLPS_Tmp_25_28_Nut0.75_3,25-28,0.75,DLPS,3.017106342921492,1.5085531714607459
DLS_Tmp_18_21_Nut0.35_2,18-21,0.35,DLS,1.1120671405509437,1.1120671405509437
DLS_Tmp_18_21_Nut0.75_1,18-21,0.75,DLS,1.826122280119383,1.826122280119383
DLS_Tmp_18_21_Nut0.75_2,18-21,0.75,DLS,1.6542225246983502,1.6542225246983502
DLS_Tmp_18_21_Nut0.75_3,18-21,0.75,DLS,0.7859255813920508,0.7859255813920508
DLS_Tmp_22_25_Nut0.01_3,22-25,0.01,DLS,0.6464294019272723,0.6464294019272723
DLS_Tmp_22_25_Nut0.35_1,22-25,0.35,DLS,0.6394348536308428,0.6394348536308428
DLS_Tmp_22_25_Nut0.35_2,22-25,0.35,DLS,4.349418302555779,4.349418302555779
DLS_Tmp_22_25_Nut0.35_3,22-25,0.35,DLS,0.8074945460564513,0.8074945460564513
DLS_Tmp_25_28_Nut0.35_1,25-28,0.35,DLS,0.9304004801893822,0.9304004801893822
DLS_Tmp_25_28_Nut0.35_2,25-28,0.35,DLS,0.8810525388922427,0.8810525388922427
DLS_Tmp_25_28_Nut0.35_3,25-28,0.35,DLS,1.2357521294601286,0.6178760647300643
DL_Tmp_18_21_Nut0.35_1,18-21,0.35,DL,1.0134233874804779,1.0134233874804779
DL_Tmp_18_21_Nut0.35_2,18-21,0.35,DL,0.6588569076642689,0.6588569076642689
DL_Tmp_22_25_Nut0.35_2,22-25,0.35,DL,1.832839658213746,1.832839658213746
DL_Tmp_25_28_Nut0.35_1,25-28,0.35,DL,0.36619920266766287,0.36619920266766287
DL_Tmp_25_28_Nut0.35_3,25-28,0.35,DL,1.090658718473712,1.090658718473712
DPS_Tmp_18_21_Nut0.01_3,18-21,0.01,DPS,4.476415959329024,2.238207979664512
DPS_Tmp_25_28_Nut0.01_3,25-28,0.01,DPS,2.8649122104885696,2.8649122104885696
DS_Tmp_22_25_Nut0.01_3,22-25,0.01,DS,0.08016985676721614,0.08016985676721614
DS_Tmp_25_28_Nut0.01_2,25-28,0.01,DS,1.0683944969429047,1.0683944969429047
DS_Tmp_25_28_Nut0.01_3,25-28,0.01,DS,11.348109084322369,5.674054542161184
LPS_Tmp_22_25_Nut0.75_1,22-25,0.75,LPS,1.3742121890675334,1.3742121890675334
LPS_Tmp_22_25_Nut0.75_2,22-25,0.75,LPS,0.805994668874033,0.805994668874033
LPS_Tmp_22_25_Nut0.75_3,22-25,0.75,LPS,2.8102040233518513,1.4051020116759256
LPS_Tmp_25_28_Nut0.75_3,25-28,0.75,LPS,0.7266508441187927,0.7266508441187927
LP_Tmp_18_21_Nut0.35_3,18-21,0.35,LP,2.1712027994160237,1.0856013997080118
LP_Tmp_18_21_Nut0.75_1,18-21,0.75,LP,1.4471807962300332,1.4471807962300332
LP_Tmp_18_21_Nut0.75_2,18-21,0.75,LP,0.3061965136470812,0.3061965136470812
LP_Tmp_18_21_Nut0.75_3,18-21,0.75,LP,1.2040036622712897,1.2040036622712897
LS_Tmp_18_21_Nut0.75_1,18-21,0.75,LS,1.0805594092287747,1.0805594092287747
LS_Tmp_18_21_Nut0.75_2,18-21,0.75,LS,1.022304696482891,1.022304696482891
LS_Tmp_18_21_Nut0.75_3,18-21,0.75,LS,1.5976923374694598,1.5976923374694598
LS_Tmp_22_25_Nut0.35_1,22-25,0.35,LS,0.46302278059055413,0.46302278059055413
PS_Tmp_25_28_Nut0.75_1,25-28,0.75,PS,0.3899463130383305,0.3899463130383305
