"","simple_divergence","sum_slopes","treatment","composition","richness","mean_divergence","mean_dissimilarity","mean_divergence_alt","temperature","nutrients"
"36",0,0.36927007608148,"Tmp_22_25_Nut0.01","CLPS",4,0.26380099863242,1.12763226336253,0.224307801869001,"22-25 °C","0.01 g/L"
"37",0,0.164670202179309,"Tmp_22_25_Nut0.35","CD",2,0,1.01213402898927,0,"22-25 °C","0.35 g/L"
"38",0.526260211792741,-0.0252296959814735,"Tmp_22_25_Nut0.35","DL",2,0.0733440030230924,1.08233189039966,0.0733440030230924,"22-25 °C","0.35 g/L"
"39",0.741161733774661,-0.0161380668641875,"Tmp_22_25_Nut0.35","LS",2,0.198645378023429,1.09557129890296,0.198645378023429,"22-25 °C","0.35 g/L"
"40",0.413302690757017,0.125427132737141,"Tmp_22_25_Nut0.35","CDL",3,0.390226906623657,1.16001266646695,0.378535418273172,"22-25 °C","0.35 g/L"
"41",0,0.187775204757289,"Tmp_22_25_Nut0.35","CDS",3,0,1.016255334199,0,"22-25 °C","0.35 g/L"
"42",0.741161733774661,-0.00212469340349357,"Tmp_22_25_Nut0.35","DLS",3,0.198645378023429,1.08606757436553,0.246440995710439,"22-25 °C","0.35 g/L"
"43",0,0.198283020170762,"Tmp_22_25_Nut0.35","CDPS",4,0,1.0140951315507,0,"22-25 °C","0.35 g/L"
"44",0.413302690757017,0.145026577267901,"Tmp_22_25_Nut0.35","CLPS",4,0.390226906623657,1.14352105712518,0.347906062552073,"22-25 °C","0.35 g/L"
"45",0.741161733774661,0.00838312200997986,"Tmp_22_25_Nut0.35","DLPS",4,0.198645378023429,1.07324495470414,0.28102896378199,"22-25 °C","0.35 g/L"
"46",0,0.0354352987495652,"Tmp_22_25_Nut0.75","CP",2,0.0623898863648342,1.11464778631277,0.0623898863648342,"22-25 °C","0.75 g/L"
"47",0.920955093084261,-0.00470733649611824,"Tmp_22_25_Nut0.75","LS",2,0.258621846720259,1.07195421486989,0.258621846720259,"22-25 °C","0.75 g/L"
"48",0,0.0348381989508272,"Tmp_22_25_Nut0.75","PS",2,0,1.001766413814,0,"22-25 °C","0.75 g/L"
"49",0,0.0668994979602421,"Tmp_22_25_Nut0.75","CDS",3,0.067567298409669,1.10108519351436,0.0878769622522581,"22-25 °C","0.75 g/L"
"50",0.931666644116839,0.00330528766175664,"Tmp_22_25_Nut0.75","CLP",3,0.678899600693245,1.15984889453506,0.696496319272475,"22-25 °C","0.75 g/L"
"51",0.920955093084261,0.00270818786301854,"Tmp_22_25_Nut0.75","LPS",3,0.258621846720259,1.0647907753153,0.302927600088193,"22-25 °C","0.75 g/L"
"52",0.931666644116839,0.0347694868724335,"Tmp_22_25_Nut0.75","CDLS",4,0.678899600693245,1.13893865279809,0.673129090507051,"22-25 °C","0.75 g/L"
"53",0.931666644116839,0.030727962253447,"Tmp_22_25_Nut0.75","CLPS",4,0.678899600693245,1.13966099768367,0.67535405910709,"22-25 °C","0.75 g/L"
"54",0.920955093084261,0.0141652368411419,"Tmp_22_25_Nut0.75","DLPS",4,0.258621846720259,1.05543043352277,0.366119517606491,"22-25 °C","0.75 g/L"
"55",0.207421764101389,-0.249488828576567,"Tmp_25_28_Nut0.01","CD",2,0.0529685469817753,1.24047461640578,0.0529685469817753,"25-28 °C","0.01 g/L"
"56",0.273740239997915,-0.237395736732364,"Tmp_25_28_Nut0.01","CP",2,0.0874093400282524,1.24863281050254,0.0874093400282524,"25-28 °C","0.01 g/L"
"57",0,0.100714232436723,"Tmp_25_28_Nut0.01","DS",2,0,1.01489152978688,0,"25-28 °C","0.01 g/L"
"58",0.388734371418484,-0.169327753336449,"Tmp_25_28_Nut0.01","CPS",3,0.0966626731069928,1.22615331179614,0.168598094683341,"25-28 °C","0.01 g/L"
"59",0,0.145453573321734,"Tmp_25_28_Nut0.01","DPS",3,0,1.01733393532556,0,"25-28 °C","0.01 g/L"
"60",0.41056055395393,-0.15071029030807,"Tmp_25_28_Nut0.01","LPS",3,0.50850373404523,1.13103023962146,0.676793452496565,"25-28 °C","0.01 g/L"
"61",0.388734371418484,-0.444938459769648,"Tmp_25_28_Nut0.01","CDLS",4,0.356460900522368,1.25262324933337,0.313689163870681,"25-28 °C","0.01 g/L"
"62",0.388734371418484,-0.136681504295641,"Tmp_25_28_Nut0.01","CDPS",4,0.0966626731069928,1.19805714844446,0.20554141572379,"25-28 °C","0.01 g/L"
"63",0.388734371418484,-0.432845367925445,"Tmp_25_28_Nut0.01","CLPS",4,0.356460900522368,1.25398003726623,0.338616919747484,"25-28 °C","0.01 g/L"
"64",0,1.03289895619392,"Tmp_25_28_Nut0.35","CD",2,0,1.18089853310021,0,"25-28 °C","0.35 g/L"
"65",0.135860896149908,-0.544771955511537,"Tmp_25_28_Nut0.35","DL",2,0.141329426639026,1.26770370753082,0.141329426639026,"25-28 °C","0.35 g/L"
"66",0.241392053333718,-0.506941396989086,"Tmp_25_28_Nut0.35","LS",2,0.299632113224813,1.28442246680578,0.299632113224813,"25-28 °C","0.35 g/L"
"67",0,1.11355433640502,"Tmp_25_28_Nut0.35","CDS",3,0,1.16354282609285,0,"25-28 °C","0.35 g/L"
"68",0.744891438183383,0.440969399018863,"Tmp_25_28_Nut0.35","CLP",3,0.756838207370603,1.62740165226435,0.738557765227596,"25-28 °C","0.35 g/L"
"69",0.241392053333718,-0.464116575300439,"Tmp_25_28_Nut0.35","DLS",3,0.299632113224813,1.25976797244133,0.402755096735068,"25-28 °C","0.35 g/L"
"70",0.744891438183383,0.525957559204837,"Tmp_25_28_Nut0.35","CDLS",4,0.756838207370603,1.56081340584442,0.689356386243067,"25-28 °C","0.35 g/L"
"71",0,1.15204637811879,"Tmp_25_28_Nut0.35","CDPS",4,0,1.14520526888697,0,"25-28 °C","0.35 g/L"
"72",0.241392053333718,-0.425624533586668,"Tmp_25_28_Nut0.35","DLPS",4,0.299632113224813,1.22386624604942,0.482512968500098,"25-28 °C","0.35 g/L"
"73",0,1.61122368902006,"Tmp_25_28_Nut0.75","CP",2,0,1.18516373987628,0,"25-28 °C","0.75 g/L"
"74",0,1.67326770199255,"Tmp_25_28_Nut0.75","CS",2,0,1.16208548441864,0,"25-28 °C","0.75 g/L"
"75",0,0.118662949458957,"Tmp_25_28_Nut0.75","PS",2,0,1.02379231896829,0,"25-28 °C","0.75 g/L"
"76",0,1.71724282274091,"Tmp_25_28_Nut0.75","CDS",3,0,1.16266430689963,0,"25-28 °C","0.75 g/L"
"77",0.433213916965373,1.23559438000672,"Tmp_25_28_Nut0.75","CLS",3,0.518702615118537,1.69822166985484,0.480246411123466,"25-28 °C","0.75 g/L"
"78",0.342230662034153,-0.319010372526866,"Tmp_25_28_Nut0.75","LPS",3,0.408382030967432,1.20997712397555,0.494243222652993,"25-28 °C","0.75 g/L"
"79",0.433213916965373,1.2175254877826,"Tmp_25_28_Nut0.75","CDLP",4,0.518702615118537,1.63238992353853,0.491287323225152,"25-28 °C","0.75 g/L"
"80",0,1.74555229098414,"Tmp_25_28_Nut0.75","CDPS",4,0,1.14667694745574,0,"25-28 °C","0.75 g/L"
"81",0.342230662034153,-0.275035251778505,"Tmp_25_28_Nut0.75","DLPS",4,0.408382030967432,1.18077209344969,0.613180279127839,"25-28 °C","0.75 g/L"
