treatment,richness,composition,mean_divergence,temperature,nutrients,species,replicate,sample_ID
Tmp_18_21_Nut0.75,3,CLP,0.452216139086795,18-21 ,0.75,Colp_Loxo_Para,1,CLP_Tmp_18_21_Nut0.75_1
Tmp_18_21_Nut0.75,3,CLP,0.452216139086795,18-21 ,0.75,Colp_Loxo_Para,2,CLP_Tmp_18_21_Nut0.75_2
Tmp_18_21_Nut0.75,3,CLP,0.452216139086795,18-21 ,0.75,Colp_Loxo_Para,3,CLP_Tmp_18_21_Nut0.75_3
Tmp_18_21_Nut0.75,4,CDPS,0.0236466913960733,18-21 ,0.75,Colp_Dexio_Para_Spiro,1,CDPS_Tmp_18_21_Nut0.75_1
Tmp_18_21_Nut0.75,4,CDPS,0.0236466913960733,18-21 ,0.75,Colp_Dexio_Para_Spiro,2,CDPS_Tmp_18_21_Nut0.75_2
Tmp_18_21_Nut0.75,4,CDPS,0.0236466913960733,18-21 ,0.75,Colp_Dexio_Para_Spiro,3,CDPS_Tmp_18_21_Nut0.75_3
Tmp_18_21_Nut0.75,4,CDLS,0.216461773603861,18-21 ,0.75,Colp_Dexio_Loxo_Spiro,1,CDLS_Tmp_18_21_Nut0.75_1
Tmp_18_21_Nut0.75,4,CDLS,0.216461773603861,18-21 ,0.75,Colp_Dexio_Loxo_Spiro,2,CDLS_Tmp_18_21_Nut0.75_2
Tmp_18_21_Nut0.75,4,CDLS,0.216461773603861,18-21 ,0.75,Colp_Dexio_Loxo_Spiro,3,CDLS_Tmp_18_21_Nut0.75_3
Tmp_18_21_Nut0.75,4,CDLP,0.452216139086795,18-21 ,0.75,Colp_Dexio_Loxo_Para,1,CDLP_Tmp_18_21_Nut0.75_1
Tmp_18_21_Nut0.75,4,CDLP,0.452216139086795,18-21 ,0.75,Colp_Dexio_Loxo_Para,2,CDLP_Tmp_18_21_Nut0.75_2
Tmp_18_21_Nut0.75,4,CDLP,0.452216139086795,18-21 ,0.75,Colp_Dexio_Loxo_Para,3,CDLP_Tmp_18_21_Nut0.75_3
Tmp_18_21_Nut3,2,CD,0,18-21 ,3,Colp_Dexio,1,CD_Tmp_18_21_Nut3_1
Tmp_18_21_Nut3,2,CD,0,18-21 ,3,Colp_Dexio,2,CD_Tmp_18_21_Nut3_2
Tmp_18_21_Nut3,2,CD,0,18-21 ,3,Colp_Dexio,3,CD_Tmp_18_21_Nut3_3
Tmp_18_21_Nut3,2,CS,0.246851013545294,18-21 ,3,Colp_Spiro,1,CS_Tmp_18_21_Nut3_1
Tmp_18_21_Nut3,2,CS,0.246851013545294,18-21 ,3,Colp_Spiro,2,CS_Tmp_18_21_Nut3_2
Tmp_18_21_Nut3,2,CS,0.246851013545294,18-21 ,3,Colp_Spiro,3,CS_Tmp_18_21_Nut3_3
Tmp_18_21_Nut3,2,DS,0.580991585256829,18-21 ,3,Dexio_Spiro,1,DS_Tmp_18_21_Nut3_1
Tmp_18_21_Nut3,2,DS,0.580991585256829,18-21 ,3,Dexio_Spiro,2,DS_Tmp_18_21_Nut3_2
Tmp_18_21_Nut3,2,DS,0.580991585256829,18-21 ,3,Dexio_Spiro,3,DS_Tmp_18_21_Nut3_3
Tmp_18_21_Nut3,3,CDL,0.00506307182263295,18-21 ,3,Colp_Dexio_Loxo,1,CDL_Tmp_18_21_Nut3_1
Tmp_18_21_Nut3,3,CDL,0.00506307182263295,18-21 ,3,Colp_Dexio_Loxo,2,CDL_Tmp_18_21_Nut3_2
