treatment,richness,composition,temperature,nutrients,species,replicate,sample_ID
Tmp_18_21_Nut0.75,2,LP,18-21 ,0.75,Loxo_Para,2,LP_Tmp_18_21_Nut0.75_2
Tmp_18_21_Nut3,2,CD,18-21 ,3,Colp_Dexio,3,CD_Tmp_18_21_Nut3_3
Tmp_18_21_Nut0.75,3,CLP,18-21 ,0.75,Colp_Loxo_Para,3,CLP_Tmp_18_21_Nut0.75_3
Tmp_18_21_Nut3,2,CS,18-21 ,3,Colp_Spiro,2,CS_Tmp_18_21_Nut3_2
Tmp_18_21_Nut3,4,CDPS,18-21 ,3,Colp_Dexio_Para_Spiro,2,CDPS_Tmp_18_21_Nut3_2
Tmp_18_21_Nut3,3,LPS,18-21 ,3,Loxo_Para_Spiro,2,LPS_Tmp_18_21_Nut3_2
Tmp_18_21_Nut3,2,CS,18-21 ,3,Colp_Spiro,3,CS_Tmp_18_21_Nut3_3
Tmp_22_25_Nut0.75,2,CP,22-25 ,0.75,Colp_Para,2,CP_Tmp_22_25_Nut0.75_2
Tmp_22_25_Nut0.75,2,CS,22-25 ,0.75,Colp_Spiro,2,CS_Tmp_22_25_Nut0.75_2
Tmp_22_25_Nut0.75,3,DLS,22-25 ,0.75,Dexio_Loxo_Spiro,1,DLS_Tmp_22_25_Nut0.75_1
Tmp_22_25_Nut0.01,3,CDL,22-25 ,0.01,Colp_Dexio_Loxo,2,CDL_Tmp_22_25_Nut0.01_2
Tmp_22_25_Nut0.01,2,DS,22-25 ,0.01,Dexio_Spiro,2,DS_Tmp_22_25_Nut0.01_2
Tmp_22_25_Nut0.75,3,DLS,22-25 ,0.75,Dexio_Loxo_Spiro,3,DLS_Tmp_22_25_Nut0.75_3
Tmp_22_25_Nut0.01,4,CDLS,22-25 ,0.01,Colp_Dexio_Loxo_Spiro,1,CDLS_Tmp_22_25_Nut0.01_1
Tmp_22_25_Nut0.01,4,CLPS,22-25 ,0.01,Colp_Loxo_Para_Spiro,3,CLPS_Tmp_22_25_Nut0.01_3
Tmp_22_25_Nut0.01,4,CLPS,22-25 ,0.01,Colp_Loxo_Para_Spiro,2,CLPS_Tmp_22_25_Nut0.01_2
Tmp_22_25_Nut0.01,4,CDPS,22-25 ,0.01,Colp_Dexio_Para_Spiro,1,CDPS_Tmp_22_25_Nut0.01_1
Tmp_22_25_Nut3,4,CDLS,22-25 ,3,Colp_Dexio_Loxo_Spiro,1,CDLS_Tmp_22_25_Nut3_1
Tmp_22_25_Nut3,4,CLPS,22-25 ,3,Colp_Loxo_Para_Spiro,3,CLPS_Tmp_22_25_Nut3_3
Tmp_22_25_Nut3,2,CS,22-25 ,3,Colp_Spiro,1,CS_Tmp_22_25_Nut3_1
Tmp_22_25_Nut3,4,CDLP,22-25 ,3,Colp_Dexio_Loxo_Para,2,CDLP_Tmp_22_25_Nut3_2
Tmp_22_25_Nut0.01,3,CDP,22-25 ,0.01,Colp_Dexio_Para,2,CDP_Tmp_22_25_Nut0.01_2
Tmp_22_25_Nut0.75,4,DLPS,22-25 ,0.75,Dexio_Loxo_Para_Spiro,3,DLPS_Tmp_22_25_Nut0.75_3
Tmp_22_25_Nut3,2,CD,22-25 ,3,Colp_Dexio,1,CD_Tmp_22_25_Nut3_1
Tmp_22_25_Nut0.01,2,CP,22-25 ,0.01,Colp_Para,1,CP_Tmp_22_25_Nut0.01_1
Tmp_22_25_Nut0.75,4,CDLS,22-25 ,0.75,Colp_Dexio_Loxo_Spiro,3,CDLS_Tmp_22_25_Nut0.75_3
Tmp_22_25_Nut3,3,CLS,22-25 ,3,Colp_Loxo_Spiro,1,CLS_Tmp_22_25_Nut3_1
Tmp_22_25_Nut3,4,CDLS,22-25 ,3,Colp_Dexio_Loxo_Spiro,3,CDLS_Tmp_22_25_Nut3_3
Tmp_22_25_Nut3,3,CDL,22-25 ,3,Colp_Dexio_Loxo,1,CDL_Tmp_22_25_Nut3_1
Tmp_22_25_Nut3,2,CS,22-25 ,3,Colp_Spiro,2,CS_Tmp_22_25_Nut3_2
Tmp_22_25_Nut0.01,3,CDP,22-25 ,0.01,Colp_Dexio_Para,1,CDP_Tmp_22_25_Nut0.01_1
Tmp_22_25_Nut0.75,3,LPS,22-25 ,0.75,Loxo_Para_Spiro,2,LPS_Tmp_22_25_Nut0.75_2
Tmp_22_25_Nut0.01,4,CDLS,22-25 ,0.01,Colp_Dexio_Loxo_Spiro,2,CDLS_Tmp_22_25_Nut0.01_2
Tmp_22_25_Nut0.01,2,DS,22-25 ,0.01,Dexio_Spiro,1,DS_Tmp_22_25_Nut0.01_1
Tmp_22_25_Nut0.75,2,CP,22-25 ,0.75,Colp_Para,3,CP_Tmp_22_25_Nut0.75_3
Tmp_22_25_Nut3,2,CD,22-25 ,3,Colp_Dexio,3,CD_Tmp_22_25_Nut3_3
Tmp_22_25_Nut0.75,2,CP,22-25 ,0.75,Colp_Para,1,CP_Tmp_22_25_Nut0.75_1
Tmp_22_25_Nut0.01,3,DLS,22-25 ,0.01,Dexio_Loxo_Spiro,2,DLS_Tmp_22_25_Nut0.01_2
Tmp_22_25_Nut0.75,2,PS,22-25 ,0.75,Para_Spiro,3,PS_Tmp_22_25_Nut0.75_3
Tmp_22_25_Nut0.01,2,CP,22-25 ,0.01,Colp_Para,2,CP_Tmp_22_25_Nut0.01_2
Tmp_22_25_Nut0.01,3,CDP,22-25 ,0.01,Colp_Dexio_Para,3,CDP_Tmp_22_25_Nut0.01_3
Tmp_22_25_Nut3,2,LP,22-25 ,3,Loxo_Para,3,LP_Tmp_22_25_Nut3_3
Tmp_22_25_Nut3,2,CS,22-25 ,3,Colp_Spiro,3,CS_Tmp_22_25_Nut3_3
Tmp_22_25_Nut3,4,CDLP,22-25 ,3,Colp_Dexio_Loxo_Para,3,CDLP_Tmp_22_25_Nut3_3
Tmp_22_25_Nut0.01,4,CDPS,22-25 ,0.01,Colp_Dexio_Para_Spiro,3,CDPS_Tmp_22_25_Nut0.01_3
Tmp_22_25_Nut3,4,CDLP,22-25 ,3,Colp_Dexio_Loxo_Para,1,CDLP_Tmp_22_25_Nut3_1
Tmp_22_25_Nut0.75,4,CDLS,22-25 ,0.75,Colp_Dexio_Loxo_Spiro,1,CDLS_Tmp_22_25_Nut0.75_1
Tmp_22_25_Nut0.01,2,CP,22-25 ,0.01,Colp_Para,3,CP_Tmp_22_25_Nut0.01_3
Tmp_22_25_Nut0.01,4,CLPS,22-25 ,0.01,Colp_Loxo_Para_Spiro,1,CLPS_Tmp_22_25_Nut0.01_1
Tmp_22_25_Nut0.75,4,CDLS,22-25 ,0.75,Colp_Dexio_Loxo_Spiro,2,CDLS_Tmp_22_25_Nut0.75_2
Tmp_22_25_Nut3,3,CLS,22-25 ,3,Colp_Loxo_Spiro,3,CLS_Tmp_22_25_Nut3_3
Tmp_22_25_Nut0.75,3,DLS,22-25 ,0.75,Dexio_Loxo_Spiro,2,DLS_Tmp_22_25_Nut0.75_2
Tmp_22_25_Nut0.01,4,CDPS,22-25 ,0.01,Colp_Dexio_Para_Spiro,2,CDPS_Tmp_22_25_Nut0.01_2
Tmp_22_25_Nut0.75,2,PS,22-25 ,0.75,Para_Spiro,1,PS_Tmp_22_25_Nut0.75_1
