treatment,richness,composition,temperature,nutrients,species,replicate,sample_ID
Tmp_25_28_Nut0.75,4,CDLP,25-28 ,0.75,Colp_Dexio_Loxo_Para,2,CDLP_Tmp_25_28_Nut0.75_2
Tmp_25_28_Nut0.01,2,LS,25-28 ,0.01,Loxo_Spiro,2,LS_Tmp_25_28_Nut0.01_2
Tmp_25_28_Nut3,4,DLPS,25-28 ,3,Dexio_Loxo_Para_Spiro,3,DLPS_Tmp_25_28_Nut3_3
Tmp_25_28_Nut0.75,4,DLPS,25-28 ,0.75,Dexio_Loxo_Para_Spiro,3,DLPS_Tmp_25_28_Nut0.75_3
Tmp_25_28_Nut0.75,2,CP,25-28 ,0.75,Colp_Para,3,CP_Tmp_25_28_Nut0.75_3
Tmp_25_28_Nut3,3,DLS,25-28 ,3,Dexio_Loxo_Spiro,2,DLS_Tmp_25_28_Nut3_2
Tmp_25_28_Nut0.75,4,CDPS,25-28 ,0.75,Colp_Dexio_Para_Spiro,3,CDPS_Tmp_25_28_Nut0.75_3
Tmp_25_28_Nut0.01,2,LS,25-28 ,0.01,Loxo_Spiro,3,LS_Tmp_25_28_Nut0.01_3
Tmp_25_28_Nut0.75,4,CDLP,25-28 ,0.75,Colp_Dexio_Loxo_Para,1,CDLP_Tmp_25_28_Nut0.75_1
Tmp_25_28_Nut3,2,DS,25-28 ,3,Dexio_Spiro,1,DS_Tmp_25_28_Nut3_1
Tmp_25_28_Nut3,3,CLP,25-28 ,3,Colp_Loxo_Para,3,CLP_Tmp_25_28_Nut3_3
Tmp_25_28_Nut3,3,CDP,25-28 ,3,Colp_Dexio_Para,3,CDP_Tmp_25_28_Nut3_3
Tmp_25_28_Nut0.75,2,CP,25-28 ,0.75,Colp_Para,2,CP_Tmp_25_28_Nut0.75_2
Tmp_25_28_Nut0.75,3,LPS,25-28 ,0.75,Loxo_Para_Spiro,1,LPS_Tmp_25_28_Nut0.75_1
Tmp_25_28_Nut0.75,4,DLPS,25-28 ,0.75,Dexio_Loxo_Para_Spiro,1,DLPS_Tmp_25_28_Nut0.75_1
Tmp_25_28_Nut0.01,4,CLPS,25-28 ,0.01,Colp_Loxo_Para_Spiro,1,CLPS_Tmp_25_28_Nut0.01_1
Tmp_25_28_Nut0.01,3,LPS,25-28 ,0.01,Loxo_Para_Spiro,2,LPS_Tmp_25_28_Nut0.01_2
Tmp_25_28_Nut0.01,2,DS,25-28 ,0.01,Dexio_Spiro,1,DS_Tmp_25_28_Nut0.01_1
Tmp_25_28_Nut0.75,2,DS,25-28 ,0.75,Dexio_Spiro,3,DS_Tmp_25_28_Nut0.75_3
Tmp_25_28_Nut0.01,3,DPS,25-28 ,0.01,Dexio_Para_Spiro,2,DPS_Tmp_25_28_Nut0.01_2
Tmp_25_28_Nut3,4,CDPS,25-28 ,3,Colp_Dexio_Para_Spiro,2,CDPS_Tmp_25_28_Nut3_2
Tmp_25_28_Nut3,2,DS,25-28 ,3,Dexio_Spiro,2,DS_Tmp_25_28_Nut3_2
Tmp_25_28_Nut0.75,2,PS,25-28 ,0.75,Para_Spiro,1,PS_Tmp_25_28_Nut0.75_1
Tmp_25_28_Nut0.75,3,CDS,25-28 ,0.75,Colp_Dexio_Spiro,3,CDS_Tmp_25_28_Nut0.75_3
Tmp_25_28_Nut0.75,2,CP,25-28 ,0.75,Colp_Para,1,CP_Tmp_25_28_Nut0.75_1
Tmp_25_28_Nut0.75,4,DLPS,25-28 ,0.75,Dexio_Loxo_Para_Spiro,2,DLPS_Tmp_25_28_Nut0.75_2
Tmp_25_28_Nut3,3,CDP,25-28 ,3,Colp_Dexio_Para,1,CDP_Tmp_25_28_Nut3_1
Tmp_25_28_Nut0.75,4,CDPS,25-28 ,0.75,Colp_Dexio_Para_Spiro,1,CDPS_Tmp_25_28_Nut0.75_1
Tmp_25_28_Nut3,4,DLPS,25-28 ,3,Dexio_Loxo_Para_Spiro,2,DLPS_Tmp_25_28_Nut3_2
Tmp_25_28_Nut0.75,4,CDLP,25-28 ,0.75,Colp_Dexio_Loxo_Para,3,CDLP_Tmp_25_28_Nut0.75_3
Tmp_25_28_Nut3,3,DLS,25-28 ,3,Dexio_Loxo_Spiro,1,DLS_Tmp_25_28_Nut3_1
Tmp_25_28_Nut0.01,4,CDPS,25-28 ,0.01,Colp_Dexio_Para_Spiro,1,CDPS_Tmp_25_28_Nut0.01_1
Tmp_25_28_Nut0.01,4,CDPS,25-28 ,0.01,Colp_Dexio_Para_Spiro,2,CDPS_Tmp_25_28_Nut0.01_2
Tmp_25_28_Nut0.01,3,CPS,25-28 ,0.01,Colp_Para_Spiro,3,CPS_Tmp_25_28_Nut0.01_3
Tmp_25_28_Nut3,3,CDP,25-28 ,3,Colp_Dexio_Para,2,CDP_Tmp_25_28_Nut3_2
Tmp_25_28_Nut0.01,3,LPS,25-28 ,0.01,Loxo_Para_Spiro,1,LPS_Tmp_25_28_Nut0.01_1
Tmp_25_28_Nut0.75,2,PS,25-28 ,0.75,Para_Spiro,2,PS_Tmp_25_28_Nut0.75_2
Tmp_25_28_Nut0.01,3,CPS,25-28 ,0.01,Colp_Para_Spiro,1,CPS_Tmp_25_28_Nut0.01_1
