"","treatment","richness","composition","mean_divergence","mean_dissimilarity","mean_divergence_alt","temperature","nutrients"
"49","Tmp_22_25_Nut0.75",3,"CDS",0.067567298409669,1.10108519351436,0.0878769622522581,"22-25 °C","0.75 g/L"
"50","Tmp_22_25_Nut0.75",3,"CLP",0.678899600693245,1.15984889453506,0.696496319272475,"22-25 °C","0.75 g/L"
"51","Tmp_22_25_Nut0.75",3,"LPS",0.258621846720259,1.0647907753153,0.302927600088193,"22-25 °C","0.75 g/L"
"52","Tmp_22_25_Nut0.75",4,"CDLS",0.678899600693245,1.13893865279809,0.673129090507051,"22-25 °C","0.75 g/L"
"53","Tmp_22_25_Nut0.75",4,"CLPS",0.678899600693245,1.13966099768367,0.67535405910709,"22-25 °C","0.75 g/L"
"54","Tmp_22_25_Nut0.75",4,"DLPS",0.258621846720259,1.05543043352277,0.366119517606491,"22-25 °C","0.75 g/L"
"55","Tmp_25_28_Nut0.01",2,"CD",0.0529685469817753,1.24047461640578,0.0529685469817753,"25-28 °C","0.01 g/L"
"56","Tmp_25_28_Nut0.01",2,"CP",0.0874093400282524,1.24863281050254,0.0874093400282524,"25-28 °C","0.01 g/L"
"57","Tmp_25_28_Nut0.01",2,"DS",0,1.01489152978688,0,"25-28 °C","0.01 g/L"
"58","Tmp_25_28_Nut0.01",3,"CPS",0.0966626731069928,1.22615331179614,0.168598094683341,"25-28 °C","0.01 g/L"
"59","Tmp_25_28_Nut0.01",3,"DPS",0,1.01733393532556,0,"25-28 °C","0.01 g/L"
"60","Tmp_25_28_Nut0.01",3,"LPS",0.50850373404523,1.13103023962146,0.676793452496565,"25-28 °C","0.01 g/L"
"61","Tmp_25_28_Nut0.01",4,"CDLS",0.356460900522368,1.25262324933337,0.313689163870681,"25-28 °C","0.01 g/L"
"62","Tmp_25_28_Nut0.01",4,"CDPS",0.0966626731069928,1.19805714844446,0.20554141572379,"25-28 °C","0.01 g/L"
"63","Tmp_25_28_Nut0.01",4,"CLPS",0.356460900522368,1.25398003726623,0.338616919747484,"25-28 °C","0.01 g/L"
"64","Tmp_25_28_Nut0.35",2,"CD",0,1.18089853310021,0,"25-28 °C","0.35 g/L"
"65","Tmp_25_28_Nut0.35",2,"DL",0.141329426639026,1.26770370753082,0.141329426639026,"25-28 °C","0.35 g/L"
"66","Tmp_25_28_Nut0.35",2,"LS",0.299632113224813,1.28442246680578,0.299632113224813,"25-28 °C","0.35 g/L"
"67","Tmp_25_28_Nut0.35",3,"CDS",0,1.16354282609285,0,"25-28 °C","0.35 g/L"
"68","Tmp_25_28_Nut0.35",3,"CLP",0.756838207370603,1.62740165226435,0.738557765227596,"25-28 °C","0.35 g/L"
"69","Tmp_25_28_Nut0.35",3,"DLS",0.299632113224813,1.25976797244133,0.402755096735068,"25-28 °C","0.35 g/L"
"70","Tmp_25_28_Nut0.35",4,"CDLS",0.756838207370603,1.56081340584442,0.689356386243067,"25-28 °C","0.35 g/L"
"71","Tmp_25_28_Nut0.35",4,"CDPS",0,1.14520526888697,0,"25-28 °C","0.35 g/L"
"72","Tmp_25_28_Nut0.35",4,"DLPS",0.299632113224813,1.22386624604942,0.482512968500098,"25-28 °C","0.35 g/L"
"73","Tmp_25_28_Nut0.75",2,"CP",0,1.18516373987628,0,"25-28 °C","0.75 g/L"
"74","Tmp_25_28_Nut0.75",2,"CS",0,1.16208548441864,0,"25-28 °C","0.75 g/L"
"75","Tmp_25_28_Nut0.75",2,"PS",0,1.02379231896829,0,"25-28 °C","0.75 g/L"
"76","Tmp_25_28_Nut0.75",3,"CDS",0,1.16266430689963,0,"25-28 °C","0.75 g/L"
"77","Tmp_25_28_Nut0.75",3,"CLS",0.518702615118537,1.69822166985484,0.480246411123466,"25-28 °C","0.75 g/L"
"78","Tmp_25_28_Nut0.75",3,"LPS",0.408382030967432,1.20997712397555,0.494243222652993,"25-28 °C","0.75 g/L"
"79","Tmp_25_28_Nut0.75",4,"CDLP",0.518702615118537,1.63238992353853,0.491287323225152,"25-28 °C","0.75 g/L"
"80","Tmp_25_28_Nut0.75",4,"CDPS",0,1.14667694745574,0,"25-28 °C","0.75 g/L"
"81","Tmp_25_28_Nut0.75",4,"DLPS",0.408382030967432,1.18077209344969,0.613180279127839,"25-28 °C","0.75 g/L"
