"","treatment","richness","composition","mean_divergence","mean_dissimilarity","temperature","nutrients"
"1","Tmp_18_21_Nut0.01",2,"CL",0.150982987213729,1.03006124510495,"18-21 °C","0.01 g/L"
"2","Tmp_18_21_Nut0.01",2,"DP",0.0370625417475666,1.00979644733113,"18-21 °C","0.01 g/L"
"3","Tmp_18_21_Nut0.01",2,"DS",0.054249147959042,1.02063986460786,"18-21 °C","0.01 g/L"
"4","Tmp_18_21_Nut0.01",3,"CLP",0.33681671008856,1.04964407701429,"18-21 °C","0.01 g/L"
"5","Tmp_18_21_Nut0.01",3,"CLS",0.136498357314569,1.04215083575773,"18-21 °C","0.01 g/L"
"6","Tmp_18_21_Nut0.01",3,"DPS",0.329234383759946,1.02720900763119,"18-21 °C","0.01 g/L"
"7","Tmp_18_21_Nut0.01",4,"CDLS",0.136498357314569,1.0452026725484,"18-21 °C","0.01 g/L"
"8","Tmp_18_21_Nut0.01",4,"CDPS",0.311178998308352,1.0442858826486,"18-21 °C","0.01 g/L"
"9","Tmp_18_21_Nut0.01",4,"CLPS",0.311178998308352,1.05181928202448,"18-21 °C","0.01 g/L"
"10","Tmp_18_21_Nut0.35",2,"CD",0.284522227998803,1.00348175396233,"18-21 °C","0.35 g/L"
"11","Tmp_18_21_Nut0.35",2,"DL",0,1.0109885808392,"18-21 °C","0.35 g/L"
"12","Tmp_18_21_Nut0.35",2,"LP",0,1.01143981614885,"18-21 °C","0.35 g/L"
"13","Tmp_18_21_Nut0.35",3,"CDS",0.0913640336159723,1.00977784668078,"18-21 °C","0.35 g/L"
"14","Tmp_18_21_Nut0.35",3,"CLP",0.108848643305297,1.02252494308483,"18-21 °C","0.35 g/L"
"15","Tmp_18_21_Nut0.35",3,"DLS",0,1.01281735932019,"18-21 °C","0.35 g/L"
"16","Tmp_18_21_Nut0.35",4,"CDLP",0.108848643305297,1.01908426400151,"18-21 °C","0.35 g/L"
"17","Tmp_18_21_Nut0.35",4,"CDLS",0.0913640336159723,1.0214825395025,"18-21 °C","0.35 g/L"
"18","Tmp_18_21_Nut0.35",4,"CDPS",0.0913640336159723,1.0085857465686,"18-21 °C","0.35 g/L"
"19","Tmp_18_21_Nut0.75",2,"DS",0,1.01187329450175,"18-21 °C","0.75 g/L"
"20","Tmp_18_21_Nut0.75",2,"LP",0.0354064418960726,1.01317877437875,"18-21 °C","0.75 g/L"
"21","Tmp_18_21_Nut0.75",2,"LS",0.122352913161872,1.01156272931067,"18-21 °C","0.75 g/L"
"22","Tmp_18_21_Nut0.75",3,"CDP",0.174868661378143,1.02237022359201,"18-21 °C","0.75 g/L"
"23","Tmp_18_21_Nut0.75",3,"CLP",0.422214163471573,1.02835142124255,"18-21 °C","0.75 g/L"
"24","Tmp_18_21_Nut0.75",3,"DLS",0.0279485713120447,1.01559310464239,"18-21 °C","0.75 g/L"
"25","Tmp_18_21_Nut0.75",4,"CDLS",0.414756292887545,1.02603232096083,"18-21 °C","0.75 g/L"
"26","Tmp_18_21_Nut0.75",4,"CDPS",0.174868661378143,1.02067497025142,"18-21 °C","0.75 g/L"
"27","Tmp_18_21_Nut0.75",4,"CLPS",0.422214163471573,1.02468242862708,"18-21 °C","0.75 g/L"
"28","Tmp_22_25_Nut0.01",2,"CP",0,1.10154173860131,"22-25 °C","0.01 g/L"
